Local time,Open,High,Low,Close,Volume
16.01.2020 13:00:00.000 GMT-0500,329.912,330.133,329.812,330.093,8.7432
16.01.2020 14:00:00.000 GMT-0500,330.092,330.143,329.892,329.982,8.7419
16.01.2020 15:00:00.000 GMT-0500,329.983,330.913,329.932,330.892,11.9628
17.01.2020 09:00:00.000 GMT-0500,331.702,331.773,331.192,331.703,10.5985
17.01.2020 10:00:00.000 GMT-0500,331.693,331.833,331.322,331.482,16.4644
17.01.2020 11:00:00.000 GMT-0500,331.483,331.643,331.082,331.563,13.2194
17.01.2020 12:00:00.000 GMT-0500,331.562,331.823,331.473,331.533,9.2309
17.01.2020 13:00:00.000 GMT-0500,331.532,331.793,331.512,331.672,8.6328
17.01.2020 14:00:00.000 GMT-0500,331.672,331.793,331.492,331.732,8.4101
17.01.2020 15:00:00.000 GMT-0500,331.722,332.183,331.312,332.042,12.8963
21.01.2020 09:00:00.000 GMT-0500,330.902,331.553,330.902,331.263,10.6853
21.01.2020 10:00:00.000 GMT-0500,331.252,331.543,330.962,331.182,17.2701
21.01.2020 11:00:00.000 GMT-0500,331.172,332.093,331.152,332.003,12.1797
21.01.2020 12:00:00.000 GMT-0500,332.002,332.183,331.912,332.022,8.8014
21.01.2020 13:00:00.000 GMT-0500,332.032,332.103,330.962,331.012,14.1702
21.01.2020 14:00:00.000 GMT-0500,331.012,331.512,330.842,331.412,14.8337
21.01.2020 15:00:00.000 GMT-0500,331.402,331.773,331.032,331.302,13.9412
22.01.2020 09:00:00.000 GMT-0500,332.252,332.773,332.012,332.673,10.7756
22.01.2020 10:00:00.000 GMT-0500,332.662,332.953,332.282,332.372,16.829
22.01.2020 11:00:00.000 GMT-0500,332.363,332.403,331.842,332.053,14.6505
22.01.2020 12:00:00.000 GMT-0500,332.042,332.193,331.662,332.172,12.7514
22.01.2020 13:00:00.000 GMT-0500,332.173,332.413,332.062,332.062,10.0968
22.01.2020 14:00:00.000 GMT-0500,332.062,332.283,331.932,332.052,9.5927
22.01.2020 15:00:00.000 GMT-0500,332.042,332.062,331.192,331.422,18.0338
23.01.2020 09:00:00.000 GMT-0500,330.662,330.802,329.422,330.292,13.1469
